mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.944,0.078,0.946,0.897,logistic,1,"(5, 50)",constant,adam
0.944,0.066,0.975,0.5951,relu,0.1,"(10, 100)",invscaling,lbfgs
0.944,0.045,0.991,0.801,logistic,0.1,"(5, 100)",adaptive,lbfgs
0.943,0.116,0.969,0.403,relu,0.1,"(5, 100)",invscaling,lbfgs
0.943,0.094,0.947,0.8945,logistic,1,"(5, 50)",invscaling,adam
0.943,0.068,0.993,0.8331,tanh,1,"(5, 100)",invscaling,lbfgs
0.943,0.042,0.992,0.5093,tanh,1,"(5, 50)",constant,lbfgs
0.941,0.059,0.987,0.4774,logistic,0.1,"(10, 50)",adaptive,lbfgs
0.941,0.051,0.999,0.5357,logistic,0.1,"(10, 50)",constant,lbfgs
0.94,0.186,0.938,0.1241,identity,10,"(10, 100)",adaptive,lbfgs
0.94,0.179,0.941,0.3049,identity,1,"(10, 100)",adaptive,lbfgs
0.94,0.085,0.96,1.2416,tanh,0.1,"(5, 100)",constant,adam
0.94,0.059,0.997,0.7637,tanh,0.1,"(10, 50)",adaptive,lbfgs
0.939,0.195,0.939,0.1371,identity,10,"(5, 100)",invscaling,lbfgs
0.939,0.078,0.995,0.9761,tanh,0.1,"(10, 100)",adaptive,lbfgs
0.939,0.054,0.94,0.9036,tanh,1,"(10, 50)",constant,sgd
0.937,0.112,0.949,0.2807,relu,0.1,"(5, 50)",invscaling,lbfgs
0.936,0.055,0.962,1.0937,tanh,0.1,"(5, 50)",constant,adam
0.936,0.045,0.996,0.7568,tanh,0.1,"(10, 50)",invscaling,lbfgs
0.934,0.221,0.928,0.2122,identity,0.1,"(5, 100)",invscaling,lbfgs
0.934,0.202,0.938,0.1942,identity,1,"(10, 50)",constant,lbfgs
0.934,0.193,0.932,0.9912,relu,10,"(5, 100)",constant,sgd
0.933,0.106,0.984,0.821,relu,0.1,"(10, 100)",adaptive,lbfgs
0.933,0.09,0.975,0.7476,logistic,0.1,"(5, 100)",invscaling,lbfgs
0.931,0.106,0.958,0.9326,tanh,0.1,"(5, 50)",invscaling,adam
0.931,0.094,0.957,1.3065,tanh,0.1,"(5, 100)",invscaling,adam
0.93,0.256,0.935,0.1198,identity,10,"(10, 100)",constant,lbfgs
0.928,0.067,0.939,0.9181,tanh,1,"(10, 50)",adaptive,sgd
0.927,0.084,0.938,1.2504,tanh,0.1,"(10, 100)",adaptive,sgd
0.927,0.075,0.944,1.266,tanh,1,"(10, 100)",adaptive,sgd
0.925,0.119,0.932,0.8944,logistic,1,"(5, 50)",adaptive,adam
0.925,0.076,0.936,1.2271,tanh,0.1,"(10, 50)",adaptive,sgd
0.924,0.063,0.922,1.1611,tanh,0.1,"(5, 100)",adaptive,sgd
0.922,0.222,0.906,0.1206,identity,0.1,"(10, 50)",adaptive,lbfgs
0.922,0.08,0.925,0.841,tanh,0.1,"(5, 50)",adaptive,sgd
0.921,0.088,0.926,0.9737,tanh,0.1,"(10, 50)",constant,sgd
0.919,0.099,0.918,1.1675,tanh,0.1,"(5, 100)",constant,sgd
0.919,0.075,0.944,1.2914,tanh,0.1,"(10, 100)",constant,sgd
0.917,0.087,0.922,1.2108,tanh,1,"(5, 100)",adaptive,sgd
0.915,0.1,0.922,1.0903,tanh,0.1,"(5, 50)",constant,sgd
0.915,0.086,0.925,1.119,tanh,1,"(5, 100)",constant,sgd
0.911,0.343,0.924,0.1328,identity,10,"(5, 100)",adaptive,lbfgs
0.911,0.195,0.908,0.8241,tanh,10,"(5, 50)",constant,sgd
0.903,0.243,0.911,0.2032,identity,1,"(10, 50)",invscaling,lbfgs
0.902,0.254,0.908,0.101,identity,10,"(10, 100)",invscaling,lbfgs
0.9,0.253,0.899,1.0378,relu,10,"(5, 100)",adaptive,adam
